nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
CODENSA S.A. ESP,"BOGOTA, D.C.",-74.106715324,4.64993705899,11001000,2103,2020,4,1902.01,8669.07,0,482.98,336.7,0,2838.74,0,0,0,1171.27,0,0,15400.77,1
CODENSA S.A. ESP,BUENAVISTA,-73.9423004687,5.51242923727,15109000,2103,2020,4,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.04,1
CODENSA S.A. ESP,CHIQUINQUIRA,-73.8183869915,5.61412836353,15176000,2103,2020,4,4.94,177.63,0,0,0,0,0,0,0,0,0,0,0,182.57,1
CODENSA S.A. ESP,COPER,-74.0454584503,5.47498409448,15212000,2103,2020,4,0,135.38,0,0,0,0,0,0,0,0,0,0,0,135.38,1
CODENSA S.A. ESP,QUIPAMA,-74.1800347561,5.52055370831,15580000,2103,2020,4,0,626.62,0,0,0,0,1.56,0,0,0,0,0,0,628.18,1
CODENSA S.A. ESP,RAQUIRA,-73.6325018712,5.53906792025,15600000,2103,2020,4,0,6.23,0,0,0,0,209.27,0,0,0,0,0,0,215.5,1
CODENSA S.A. ESP,SAN MIGUEL DE SEMA,-73.7220038544,5.51808577641,15676000,2103,2020,4,0,119.68,0,0,0,0,4.05,0,0,0,0,0,0,123.73,1
CODENSA S.A. ESP,AGUA DE DIOS,-74.6692192503,4.37531467846,25001000,2103,2020,4,36.65,207.68,0,0,0.87,0,57.56,0,0,0,0,0,0,302.76,1
CODENSA S.A. ESP,ALBAN,-74.4382648986,4.87802613952,25019000,2103,2020,4,0,438.19,0,0,0.32,0,10.42,0,0,0,0,0,0,448.92,1
CODENSA S.A. ESP,ANAPOIMA,-74.5285181395,4.562955419,25035000,2103,2020,4,1086.48,648.64,0,0,6.17,0,73.19,0,0,0,0,0,0,1814.48,1
CODENSA S.A. ESP,ANOLAIMA,-74.4638356057,4.76169908987,25040000,2103,2020,4,343.42,567.83,0,0,3,0,14.85,0,0,0,0,0,0,929.1,1
CODENSA S.A. ESP,LA FLORIDA,-74.4324507993,4.77147764098,25040002,2103,2020,4,0,22.9,0,0,0,0,0.23,0,0,0,0,0,0,23.12,1
CODENSA S.A. ESP,ARBELAEZ,-74.4148233831,4.27248220101,25053000,2103,2020,4,0.04,1444.12,0,0,34.1,0,1731.61,0,0,0,15.63,0,0,3225.5,1
CODENSA S.A. ESP,BELTRAN,-74.7418022426,4.80281214522,25086000,2103,2020,4,7.63,18.98,0,0,0,0,0,0,0,0,0,0,0,26.61,1
CODENSA S.A. ESP,BITUIMA,-74.5396180099,4.87224216957,25095000,2103,2020,4,10.11,229.98,0,0,3,0,5.16,0,0,0,0,0,0,248.25,1
CODENSA S.A. ESP,BOJACA,-74.3445936942,4.73720453576,25099000,2103,2020,4,0.15,460.17,0,0,0,0,1.89,0,0,0,0,0,0,462.21,1
CODENSA S.A. ESP,CABRERA,-74.4845451143,3.98514461399,25120000,2103,2020,4,3.39,1241.24,0,0.4,3.03,0,2829.88,0,0,0,2738.37,0,0,6816.31,1
CODENSA S.A. ESP,CACHIPAY,-74.4357007521,4.73095518422,25123000,2103,2020,4,234.42,310.72,0,0,0.7,0,144.27,0,0,3.98,0,0,0,694.1,1
CODENSA S.A. ESP,CAJICA,-74.0234537112,4.92081005268,25126000,2103,2020,4,9.79,280.82,0,0,72.03,0,0.06,0,0,0,0,0,0,362.7,1
CODENSA S.A. ESP,CALAHORRA,-74.0285532939,4.90418879984,25126009,2103,2020,4,0,7.65,0,0,3.27,0,0,0,0,0,0,0,0,10.91,1
CODENSA S.A. ESP,LA PALMA,-74.0439543356,4.92107627356,25126011,2103,2020,4,4.57,10.51,0,0,6.43,0,0,0,0,0,0,0,0,21.52,1
CODENSA S.A. ESP,EL MISTERIO,0,0,25126012,2103,2020,4,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,1
CODENSA S.A. ESP,CAMINO LOS VARGAS,-74.0414187244,4.89920005575,25126014,2103,2020,4,6.77,108.81,0,0,24,0,0,0,0,0,0,0,0,139.58,1
CODENSA S.A. ESP,CAPARRAPI,-74.4911179964,5.34794115431,25148000,2103,2020,4,574.68,890.09,0,0,0.1,0,354.61,0,0,0,0,0,0,1819.48,1
CODENSA S.A. ESP,EL DINDAL,-74.5672700634,5.29706207371,25148003,2103,2020,4,67.58,2.37,0,0,0,0,12.41,0,0,0,0,0,0,82.36,1
CODENSA S.A. ESP,SAN PEDRO,-74.4637008376,5.50022953199,25148005,2103,2020,4,42.88,10.32,0,0,0,0,12.42,0,0,0,0,0,0,65.62,1
CODENSA S.A. ESP,CORDOBA,-74.5480566598,5.39585882957,25148007,2103,2020,4,0,2.51,0,0,0,0,38.9,0,0,0,0,0,0,41.41,1
CODENSA S.A. ESP,SAN CARLOS,-74.496433549,5.44095185467,25148009,2103,2020,4,12.02,16.92,0,0,0,0,3.35,0,0,0,0,0,0,32.28,1
