,COD_TRAFO,CONSUMO,CONS_PROME,LATITUDE,LONGITUDE,EMPRESA,MES,ANO
918,100008TR1,52440,43180,5.75236448,-74.62735461,2103,1,2018
1028,1000454,56538,58382,3.41791959,-76.49666105,2438,1,2018
1336,1002,69181,66245,4.813982,-75.695698,2073,1,2018
1948,100557,62057,59412,7.11620671,-73.11197325,524,1,2018
2045,100601,84656,0,7.09203401,-73.10592,524,1,2018
2110,100639,52303,52830,7.09567465,-73.10274791,524,1,2018
2115,100642TR1,54735,41301,4.30821004,-74.79826219,2103,1,2018
2312,100756,50320,47876,7.09243456,-73.09651345,524,1,2018
2550,100910,51768,50823,7.11749442,-73.12454246,524,1,2018
3789,10146TR1,76181,66349,4.57965624,-74.2165645,2103,1,2018
4129,101725,78294,81807,7.10413997,-73.12273107,524,1,2018
4280,1018884,66323,62662,3.42899882,-76.52100081,2438,1,2018
4286,1018957,50158,36435,3.4310177000000004,-76.52055843,2438,1,2018
4886,102409,64825,62907,7.11479922,-73.11034993,524,1,2018
4937,10244TR1,51748,24890,4.59500406,-74.25291752,2103,1,2018
5094,102526,53460,47373,7.12072219,-73.12089255,524,1,2018
5156,102552,76972,90051,7.1201435,-73.12292617,524,1,2018
5210,102614,67539,69273,7.1186098,-73.1256267,524,1,2018
5309,102702,54120,50160,7.11770525,-73.12704895,524,1,2018
5396,102805,74400,64866,7.11726734,-73.13064394,524,1,2018
5489,10292TR1,80880,79880,4.62338094,-74.10364827,2103,1,2018
5888,103191,57378,56894,7.11499808,-73.10884604,524,1,2018
6061,10338TR1,49870,47012,4.58126854,-74.21718100000001,2103,1,2018
6182,103525,76560,78906,7.12824344,-73.11477753,524,1,2018
6438,10395TR1,57254,59661,4.62867966,-74.19628981,2103,1,2018
6881,104525,57459,60629,7.13494816,-73.12321427,524,1,2018
6905,104555,63887,58927,7.12012472,-73.12669474,524,1,2018
6983,1047,75180,82650,4.8121485,-75.764537,2073,1,2018
7000,104711,53460,61380,7.11765436,-73.13005578,524,1,2018
7029,104739,53774,51401,7.12037616,-73.12567341,524,1,2018
7141,10493TR1,69614,64583,4.58377294,-74.21915541,2103,1,2018
7432,105412,77220,32780,7.13806962,-73.13296648,524,1,2018
7558,10564,54450,57530,1.9108610000000001,-75.151738,1032,1,2018
7780,106,56859,53678,5.695138,-76.660273,3226,1,2018
7826,106036,54446,49806,7.07350052,-73.16751667,524,1,2018
7997,106182,67980,93720,7.10677283,-73.11240132,524,1,2018
8565,107219,64200,102400,7.0835777,-73.16754771,524,1,2018
8591,10724TR1,56569,60340,4.62915063,-74.19538511,2103,1,2018
8618,1072722,51519,50791,3.476636,-76.48508368,2438,1,2018
8871,10761,52691,0,6.1839,-75.5905,564,1,2018
9324,108185,53313,52858,7.06182428,-73.08645045,524,1,2018
9700,108606,58055,60237,7.06646365,-73.10563925,524,1,2018
10110,10920,87765,0,6.3093,-75.5747,564,1,2018
10644,11027,78540,72600,2.1032040000000003,-74.765,1032,1,2018
10752,11040TR1,66150,63342,4.75911751,-74.09879302,2103,1,2018
10774,11043,52305,54195,4.754132,-75.906129,617,1,2018
11250,11127TR1,64032,62120,4.69465804,-74.11549646,2103,1,2018
11259,11129TR1,60317,58142,4.69442885,-74.1136819,2103,1,2018
11268,11130TR1,56776,53353,4.69369432,-74.11382113,2103,1,2018
11282,11134TR1,68309,59521,4.69226021,-74.11145711,2103,1,2018
11286,11135TR1,50279,48332,4.69260914,-74.11003732,2103,1,2018
11294,11137TR1,55265,52235,4.69147526,-74.11013759,2103,1,2018
11541,1119826,50990,52417,3.48588866,-76.49898515,2438,1,2018
13130,1142,63711,59094,5.311851,-73.14219200000001,500,1,2018
13515,115017,53728,55216,7.0888019,-73.168903,524,1,2018
13651,115125,77436,70400,7.10685864,-73.11887784,524,1,2018
13697,115170,50829,0,7.08668683,-73.13602554,524,1,2018
13833,115300,51679,51477,7.08382868,-73.1443708,524,1,2018
13883,115350,55440,52030,6.78055251,-73.00345538,524,1,2018
13904,115376,50145,91676,7.11272055,-73.11255402,524,1,2018
14171,115700,58272,61149,7.06977635,-73.10490959999998,524,1,2018
14353,115919,51358,76244,7.08337058,-73.10745745,524,1,2018
14746,116179,74250,74140,7.14927312,-73.13472767,524,1,2018
15319,116660,57420,57200,7.11136556,-73.13202746,524,1,2018
15821,11727,56500,0,6.2022,-75.5884,564,1,2018
16023,1175238,57490,59837,3.45444533,-76.53446719,2438,1,2018
16149,1177192,60210,59550,3.45270045,-76.53067874,2438,1,2018
16151,1177249,62877,55658,3.44840153,-76.53052612,2438,1,2018
16212,1178,65340,101200,5.680672,-76.647671,3226,1,2018
16300,1179225,61890,61408,3.45136381,-76.5340608,2438,1,2018
16337,1179551,75452,67086,3.45233196,-76.52923638,2438,1,2018
16346,1179641,50789,44243,3.45350256,-76.52950322,2438,1,2018
16566,11814TR1,55300,53311,4.60555565,-74.08009626,2103,1,2018
16645,11821TR1,62767,67717,4.60381959,-74.08180139,2103,1,2018
16676,11825TR1,66824,62298,4.60079036,-74.07931246,2103,1,2018
16691,11829TR1,75466,81203,4.59756576,-74.07935199,2103,1,2018
16774,1184989,74494,113614,3.43131937,-76.54703895,2438,1,2018
16782,1185098,63029,121776,3.42771231,-76.54968075,2438,1,2018
16787,11851TR1,53282,51864,4.60338128,-74.07895665,2103,1,2018
16816,11857TR1,68000,69792,4.60134097,-74.07773682,2103,1,2018
16881,11871TR1,75327,68309,4.60712155,-74.0779683,2103,1,2018
16965,11888TR1,54070,53870,4.74983273,-74.06368561,2103,1,2018
17346,11982TR1,52996,55067,4.75268205,-74.04456371,2103,1,2018
17349,11983TR1,50317,50637,4.75258751,-74.0435702,2103,1,2018
17395,11996,66265,0,6.2538,-75.6096,564,1,2018
17841,120001,50500,47627,6.98331662,-73.05039122,524,1,2018
17937,12007,65039,58748,5.351056,-72.40175,3370,1,2018
18029,12022,61676,58256,5.333408,-72.384539,3370,1,2018
18030,12022,61676,58256,5.35099,-72.398668,3370,1,2018
18031,12022,61676,58256,5.350621,-72.39973,3370,1,2018
18032,12022,61676,58256,5.351349,-72.40034200000001,3370,1,2018
18093,12032,50144,54516,5.345034,-72.393061,3370,1,2018
18094,12032,50144,54516,5.34486,-72.39086,3370,1,2018
18095,12032,50144,54516,5.0,-72.0,3370,1,2018
18096,12032,50144,54516,5.345946,-72.391476,3370,1,2018
18153,12040,81531,73692,5.0,-72.0,3370,1,2018
18154,12040,81531,73692,5.3406139999999995,-72.392451,3370,1,2018
18155,12040,81531,73692,5.34086,-72.392023,3370,1,2018
18162,12041,51474,43242,5.347754,-72.394462,3370,1,2018
18177,12043,73410,67392,5.343563,-72.394272,3370,1,2018
18178,12043,73410,67392,5.345034,-72.393061,3370,1,2018
18179,12043,73410,67392,5.32225,-72.403194,3370,1,2018
18192,12045,72680,66700,5.341026,-72.395808,3370,1,2018
18193,12045,72680,66700,5.344165,-72.39750500000001,3370,1,2018
18194,12045,72680,66700,5.342773,-72.398067,3370,1,2018
18195,12045,72680,66700,5.3466830000000005,-72.396268,3370,1,2018
18244,12052,54138,60624,5.0,-72.0,3370,1,2018
18245,12052,54138,60624,5.341904,-72.401894,3370,1,2018
18246,12052,54138,60624,5.344519,-72.405555,3370,1,2018
18247,12052,54138,60624,5.3413330000000006,-72.401917,3370,1,2018
18248,12052,54138,60624,5.342707,-72.401583,3370,1,2018
18249,12052,54138,60624,5.342421,-72.39985,3370,1,2018
18268,12055,51096,49044,5.337946,-72.387153,3370,1,2018
18270,12056,54432,0,6.191,-75.5853,564,1,2018
18327,12065,72912,65504,5.343025,-72.384721,3370,1,2018
18381,12073,64582,59272,5.335786,-72.39820999999999,3370,1,2018
18382,12073,64582,59272,5.339913,-72.39971800000001,3370,1,2018
18387,12074,51253,47112,5.336691,-72.397892,3370,1,2018
18866,12144TR1,51539,46810,4.60603178,-74.07380118,2103,1,2018
18878,12147TR1,51087,48708,4.60511963,-74.07390717,2103,1,2018
18883,12149,67441,0,6.1832,-75.5883,564,1,2018
18886,12149,68980,65812,5.0,-72.0,3370,1,2018
18887,12149,68980,65812,5.332991000000001,-72.40333100000001,3370,1,2018
18888,12149,68980,65812,5.331849,-72.40238199999999,3370,1,2018
18889,12149,68980,65812,5.333508,-72.40276800000001,3370,1,2018
18904,12152,75832,73344,5.326741999999999,-72.40671,3370,1,2018
18905,12152,75832,73344,5.3297620000000006,-72.406353,3370,1,2018
18906,12152,75832,73344,5.331119,-72.405266,3370,1,2018
18907,12152,75832,73344,5.339913,-72.39971800000001,3370,1,2018
18971,12163,58882,53260,5.331849,-72.40238199999999,3370,1,2018
18972,12163,58882,53260,5.333508,-72.40276800000001,3370,1,2018
18977,12164,76272,63732,5.331849,-72.40238199999999,3370,1,2018
18978,12164,76272,63732,5.319278,-72.40952800000001,3370,1,2018
18979,12164,76272,63732,5.333508,-72.40276800000001,3370,1,2018
18987,12166,55104,52665,5.330875,-72.400879,3370,1,2018
18988,12166,55104,52665,5.334626999999999,-72.405509,3370,1,2018
18989,12166,55104,52665,5.331926,-72.399984,3370,1,2018
18999,12168,90882,83655,5.0,-72.0,3370,1,2018
19000,12168,90882,83655,5.3350290000000005,-72.40147900000001,3370,1,2018
19001,12168,90882,83655,5.33617,-72.4016,3370,1,2018
19002,12168TR1,79886,71290,4.60578885,-74.07397822,2103,1,2018
19036,12173,54843,50802,5.331926,-72.399984,3370,1,2018
19037,12173,54843,50802,5.330875,-72.400879,3370,1,2018
19038,12173,54843,50802,5.334626999999999,-72.405509,3370,1,2018
19047,12175,57774,52647,5.324138,-72.40308900000001,3370,1,2018
19048,12175,57774,52647,5.319163,-72.399192,3370,1,2018
19049,12175,57774,52647,5.3232349999999995,-72.401924,3370,1,2018
19075,12180,62682,45177,5.3428059999999995,-72.397972,3370,1,2018
19076,12180,62682,45177,5.346814,-72.382775,3370,1,2018
19077,12180,62682,45177,5.0,-72.0,3370,1,2018
19360,12243,75286,0,6.2164,-75.5796,564,1,2018
19413,12255,71233,56586,5.342854,-72.407523,3370,1,2018
19575,12290,51260,59510,1.568149,-75.529586,1032,1,2018
19651,12304TR1,53053,53100,4.75728863,-74.07828171,2103,1,2018
19718,12315TR1,58669,48329,4.75415684,-74.08067782,2103,1,2018
19765,12323,55328,52930,5.3348580000000005,-72.408203,3370,1,2018
19766,12323,55328,52930,5.333307,-72.40499,3370,1,2018
19810,12332,66456,62085,5.727778,-71.997889,3370,1,2018
19811,12332,66456,62085,5.727778,-71.997889,3370,1,2018
19812,12332,66456,62085,5.727778,-71.997889,3370,1,2018
19829,12336,65706,59546,5.7245,-71.99002800000001,3370,1,2018
19830,12336,65706,59546,5.7245,-71.99002800000001,3370,1,2018
19904,12352,67557,0,6.3599,-75.4945,564,1,2018
20832,12489,81690,73722,5.319278,-72.40952800000001,3370,1,2018
20833,12489,81690,73722,5.305287,-72.417203,3370,1,2018
