servicio,cod_empresa,empresa,centro_poblado,numero_pqrs,latitude,longitude
ENERGIA,2103,CODENSA S.A. ESP,"BOGOTA, D.C.",24440,4.64993705899,-74.106715324
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,BARRANQUILLA,14967,10.9783195607,-74.8132169683
GAS,488,GAS NATURAL S.A. E.S..P,"BOGOTA, D.C.",9775,4.64993705899,-74.106715324
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA MARTA,6805,11.2047725963,-74.2002109893
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CARTAGENA DE INDIAS,6376,10.3849883546,-75.4964264795
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,VALLEDUPAR,5264,10.4604806696,-73.2593904181
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SOLEDAD,4239,10.9101742784,-74.7848339582
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,CUCUTA,2997,7.90558402069,-72.5080651202
GAS,484,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,BARRANQUILLA,2430,10.9783195607,-74.8132169683
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,POPAYAN,2330,2.45994897276,-76.5988923721
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MONTERIA,2311,8.75981523965,-75.8732573059
ENERGIA,2438,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,SANTIAGO DE CALI,2254,3.4144187719,-76.5215601611
GAS,629,GASES DE OCCIDENTE S. A. EMPRESA DE SERVICIOS PUBLICOS,SANTIAGO DE CALI,2150,3.4144187719,-76.5215601611
ENERGIA,564,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,MEDELLIN,2124,6.24858636743,-75.5760017134
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SINCELEJO,2050,9.30233021687,-75.395481772
ENERGIA,2103,CODENSA S.A. ESP,SOACHA,1929,4.57939176705,-74.2154309452
GAS,498,SURTIDORA DE GAS DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,CARTAGENA DE INDIAS,1750,10.3849883546,-75.4964264795
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,RIOHACHA,1608,11.5287502128,-72.9114873118
GAS,488,GAS NATURAL S.A. E.S..P,SOACHA,1547,4.57939176705,-74.2154309452
ENERGIA,44278,CELSIA TOLIMA S.A. E.S.P.,IBAGUE,1496,4.43280938914,-75.1953679078
GAS,484,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,SANTA MARTA,1489,11.2047725963,-74.2002109893
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MAGANGUE,1350,9.26381346247,-74.7667304396
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MALAMBO,1309,10.856822692,-74.7748637454
ENERGIA,2103,CODENSA S.A. ESP,ZIPAQUIRA,1193,5.02547142431,-73.9944757558
ENERGIA,524,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,BUCARAMANGA,1171,7.11626842734,-73.1325976221
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MAICAO,1106,11.3783279454,-72.2419044542
ENERGIA,2103,CODENSA S.A. ESP,CHIA,1105,4.86606490054,-74.0503469604
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,MONTELIBANO,1055,7.97377871713,-75.4168167918
GAS,484,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,SOLEDAD,948,10.9101742784,-74.7848339582
GAS,564,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,MEDELLIN,919,6.24858636743,-75.5760017134
ENERGIA,536,CELSIA COLOMBIA S.A. E.S.P.,BUENAVENTURA,907,3.87580334574,-77.0117477782
ENERGIA,2103,CODENSA S.A. ESP,TOCANCIPA,858,4.96478385194,-73.9120940816
GAS,618,ALCANOS DE COLOMBIA S.A. E.S.P.,IBAGUE,854,4.43280938914,-75.1953679078
ENERGIA,2073,EMPRESA DE ENERGIA DE PEREIRA S.A. ESP.,PEREIRA,845,4.80532287092,-75.7190152322
ENERGIA,23442,COMPA?IA ENERGETICA DE OCCIDENTE S.A.S.  E.S.P.,SANTANDER DE QUILICHAO,844,3.0160508863,-76.4853693048
ENERGIA,2103,CODENSA S.A. ESP,LA CALERA,754,4.72138578652,-73.967966495
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,FUNDACION,740,10.5140917977,-74.1913417387
ENERGIA,502,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,MANIZALES,652,5.05768733557,-75.4910467146
ENERGIA,617,EMPRESAS MUNICIPALES DE CARTAGO E.S.P.,CARTAGO,648,4.758755097,-75.942264044
GAS,526,GAS NATURAL DEL ORIENTE SA ESP,BUCARAMANGA,638,7.11626842734,-73.1325976221
ENERGIA,523,EMPRESA DE ENERGIA DEL  QUINDIO S.A.E.S.P.,ARMENIA,606,4.535987208,-75.6807545438
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PUERTO COLOMBIA,594,11.022939949,-74.851963055
ENERGIA,500,EMPRESA DE ENERGIA DE BOYACA S.A. ESP EMPRESA DE SERVICIOS PUBLICOS,SOGAMOSO,576,5.72568884872,-72.9230476498
ENERGIA,536,CELSIA COLOMBIA S.A. E.S.P.,PALMIRA,569,3.53234954501,-76.2985815873
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,CIENAGA,566,11.0066586077,-74.2412855651
GAS,484,GASES DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,VALLEDUPAR,552,10.4604806696,-73.2593904181
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,AGUACHICA,548,8.30735417168,-73.6129927186
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,TURBACO,546,10.332772802,-75.424409165
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SAN MARCOS,543,8.66194596532,-75.134084767
GAS,618,ALCANOS DE COLOMBIA S.A. E.S.P.,NEIVA,531,2.93555887476,-75.2777314808
GAS,498,SURTIDORA DE GAS DEL CARIBE S.A. EMPRESA DE SERVICIOS PUBLICOS ,MONTERIA,510,8.75981523965,-75.8732573059
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,SANTA CRUZ DE LORICA,506,9.2407803614,-75.8160972268
ENERGIA,524,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,BARRANCABERMEJA,504,7.06496573153,-73.8499567312
ENERGIA,3076,EMPRESA DE ENERGIA ELECTRICA DEL DEPARTAMENTO DEL GUAVIARE SA ESP,SAN JOSE DEL GUAVIARE,490,2.56608342423,-72.6390287201
ENERGIA,604,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. ESP,OCA?A,488,8.24746216282,-73.355814925
ENERGIA,2249,ELECTRIFICADORA DEL CARIBE S.A. E.S.P.,PLANETA RICA,483,8.40820221055,-75.5832417103
ENERGIA,520,CENTRALES ELECTRICAS DE NARI?O S.A. E.S.P.,SAN JUAN DE PASTO,481,1.21245507293,-77.27877597
